extension,size_kb,has_password,has_bank,has_email,has_phone,has_nic,has_card,has_secret,has_confidential,has_api_key,has_token,has_passport,has_internal,has_project,has_student,has_report,has_invoice,has_salary,has_medical,risk
docx,5057,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,Medium
other,4568,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Medium
pdf,3623,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,Medium
txt,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
xlsx,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,556,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,Medium
xlsx,1354,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,8698,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,High
jpg,394,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
json,5963,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,High
csv,1611,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,High
xlsx,10407,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,High
pdf,3286,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Medium
json,6924,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,High
docx,1370,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
other,1809,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Medium
csv,2058,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Medium
xlsx,11996,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,High
csv,7878,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,High
docx,2758,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Medium
other,1334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
xlsx,5262,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Medium
json,6268,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,High
png,5631,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Medium
png,694,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,High
log,8885,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,High
png,1273,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,High
csv,4818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,High
other,6944,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,High
other,3800,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Medium
pdf,5720,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Medium
png,6042,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,Medium
png,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,137,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium
txt,1171,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
pdf,287,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Medium
docx,740,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,High
jpg,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,1648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
xlsx,4678,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Medium
txt,2006,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Medium
txt,536,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low
jpg,6853,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Medium
txt,4326,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Medium
docx,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
pdf,5728,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,Medium
png,585,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Medium
png,6194,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium
txt,7662,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,High
png,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
png,5282,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Medium
png,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Low
png,1418,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
json,1533,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,High
txt,5199,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,Medium
xlsx,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,4610,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
png,6178,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,High
jpg,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
xlsx,1702,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
xlsx,1632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,777,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
txt,11699,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,High
pdf,3573,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,High
docx,4029,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
txt,1444,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
docx,920,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Medium
log,9718,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,High
csv,11456,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,High
txt,2813,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,High
png,8455,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,High
csv,3566,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Medium
png,1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,8438,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,High
json,7226,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,High
xlsx,126,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Medium
png,729,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
csv,9974,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,High
docx,11426,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,High
pdf,6406,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,Medium
xlsx,10685,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,High
docx,1846,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Medium
jpg,5738,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,High
jpg,1185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,8653,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,High
docx,717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
csv,4065,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,0,High
other,9254,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,High
other,6177,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,High
log,8434,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,High
xlsx,5087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Medium
txt,1116,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
txt,141,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Low
pdf,2674,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,Medium
pdf,6797,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Medium
csv,6516,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,Medium
json,10837,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,High
pdf,4321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
jpg,1397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,11374,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,High
xlsx,1784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,250,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
docx,1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,6276,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,Medium
csv,8230,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,High
txt,1318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
log,8024,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,High
txt,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
csv,6343,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium
txt,26,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Low
docx,10864,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,High
txt,6697,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,High
pdf,1628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
csv,3600,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium
docx,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
json,4563,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,High
csv,2526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
png,1084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
jpg,6874,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,Medium
jpg,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,10209,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,High
pdf,5264,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Medium
docx,1774,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Medium
pdf,5687,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Medium
png,6676,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Medium
other,1268,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,High
csv,11067,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,High
docx,1155,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,Medium
docx,5482,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Medium
jpg,3046,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,High
other,1248,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Low
png,6656,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Medium
other,4996,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,Medium
other,250,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
png,1467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,4790,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
txt,1274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
pdf,1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,172,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Low
csv,5665,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,High
pdf,2840,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Medium
png,6727,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,High
txt,786,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Low
pdf,2773,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Medium
docx,4459,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Medium
xlsx,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,298,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
other,6974,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Medium
png,6060,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Medium
png,8115,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,High
txt,10332,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,High
csv,5290,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,Medium
pdf,5369,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,High
txt,6196,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,High
png,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
pdf,1929,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,Medium
xlsx,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,10099,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,High
pdf,8777,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1,High
docx,3591,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,Medium
xlsx,1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,5606,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Medium
txt,1194,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
pdf,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
docx,4192,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,Medium
txt,6326,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,High
other,5096,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,High
txt,1820,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Medium
png,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
json,2353,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,High
jpg,1156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium
xlsx,1133,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Low
other,406,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
txt,1119,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
other,926,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Medium
txt,6266,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
other,3895,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Medium
txt,998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Medium
docx,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
txt,7282,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,High
other,6603,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,High
docx,3283,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,Medium
xlsx,6843,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,Medium
png,2106,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,Medium
csv,6823,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Medium
docx,3029,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,Medium
pdf,778,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Medium
jpg,5030,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,High
png,1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
jpg,5019,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,High
txt,2805,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,Medium
docx,196,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,Medium
pdf,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
csv,11300,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,High
pdf,5532,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Medium
jpg,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
png,6586,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Medium
jpg,2423,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Medium
pdf,1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
csv,4388,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Medium
txt,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
csv,4620,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Medium
xlsx,1491,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
docx,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
pdf,2244,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Medium
png,1000,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Low
txt,4085,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,High
docx,3812,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium
pdf,5766,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High
csv,9776,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,High
pdf,4269,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Medium
docx,3947,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Medium
txt,11509,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,High
other,6332,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Medium
jpg,3939,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,Medium
png,6493,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,High
xlsx,6337,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,High
pdf,136,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Low
other,4238,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,High
txt,2641,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,Medium
png,3323,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,High
xlsx,596,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
xlsx,1256,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,High
xlsx,10768,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,High
png,871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Low
png,9770,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,High
txt,5615,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,Medium
other,4764,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,High
docx,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low
